127.0.0.1 - - [22/Jan/2020:08:35:57 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Jan/2020:08:35:58 +0530] "GET /BonAppetit/ HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [22/Jan/2020:08:35:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Jan/2020:08:51:04 +0530] "OPTIONS /BonAppetit/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jan/2020:08:51:05 +0530] "POST /BonAppetit/users/login HTTP/1.1" 500 5073
0:0:0:0:0:0:0:1 - - [22/Jan/2020:08:56:57 +0530] "POST /BonAppetit/users/login HTTP/1.1" 500 5073
0:0:0:0:0:0:0:1 - - [22/Jan/2020:08:56:58 +0530] "POST /BonAppetit/users/login HTTP/1.1" 500 5073
0:0:0:0:0:0:0:1 - - [22/Jan/2020:08:59:04 +0530] "POST /BonAppetit/users/login HTTP/1.1" 500 5073
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:01:04 +0530] "POST /BonAppetit/users/login HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:23:38 +0530] "OPTIONS /BonAppetit/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:23:38 +0530] "POST /BonAppetit/users/login HTTP/1.1" 500 5073
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:24:18 +0530] "POST /BonAppetit/users/login HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:37:17 +0530] "OPTIONS /BonAppetit/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:37:17 +0530] "POST /BonAppetit/users/login HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:40:08 +0530] "POST /BonAppetit/users/login HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:48:53 +0530] "OPTIONS /BonAppetit/users/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:48:53 +0530] "POST /BonAppetit/users/login HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:52:19 +0530] "POST /BonAppetit/users/login HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [22/Jan/2020:09:57:34 +0530] "POST /BonAppetit/users/login HTTP/1.1" 200 173
